graph_id,source,generator,tier,num_nodes,num_edges,gen_params,layout_algorithm,layout_seed,graph_path,image_path
real_MUTAG_0001,real,MUTAG,small,17,19,{},networkx_spring,1668452223,data/raw/real/MUTAG/real_MUTAG_0001.graphml,data/images/real_MUTAG_0001.png
real_MUTAG_0002,real,MUTAG,small,13,14,{},networkx_spring,3682427860,data/raw/real/MUTAG/real_MUTAG_0002.graphml,data/images/real_MUTAG_0002.png
real_MUTAG_0003,real,MUTAG,small,13,14,{},networkx_spring,1856599604,data/raw/real/MUTAG/real_MUTAG_0003.graphml,data/images/real_MUTAG_0003.png
real_MUTAG_0004,real,MUTAG,small,19,22,{},networkx_spring,3063613094,data/raw/real/MUTAG/real_MUTAG_0004.graphml,data/images/real_MUTAG_0004.png
real_MUTAG_0005,real,MUTAG,small,11,11,{},networkx_spring,3942951561,data/raw/real/MUTAG/real_MUTAG_0005.graphml,data/images/real_MUTAG_0005.png
real_MUTAG_0006,real,MUTAG,medium,28,31,{},networkx_spring,1618367978,data/raw/real/MUTAG/real_MUTAG_0006.graphml,data/images/real_MUTAG_0006.png
real_MUTAG_0007,real,MUTAG,small,16,17,{},networkx_spring,501766538,data/raw/real/MUTAG/real_MUTAG_0007.graphml,data/images/real_MUTAG_0007.png
real_MUTAG_0008,real,MUTAG,small,20,22,{},networkx_spring,2321741713,data/raw/real/MUTAG/real_MUTAG_0008.graphml,data/images/real_MUTAG_0008.png
real_MUTAG_0009,real,MUTAG,small,12,13,{},networkx_spring,1052014299,data/raw/real/MUTAG/real_MUTAG_0009.graphml,data/images/real_MUTAG_0009.png
real_MUTAG_0010,real,MUTAG,small,17,19,{},networkx_spring,3606746519,data/raw/real/MUTAG/real_MUTAG_0010.graphml,data/images/real_MUTAG_0010.png
real_MUTAG_0011,real,MUTAG,small,17,19,{},networkx_spring,3959861736,data/raw/real/MUTAG/real_MUTAG_0011.graphml,data/images/real_MUTAG_0011.png
real_MUTAG_0012,real,MUTAG,small,20,23,{},networkx_spring,3461213087,data/raw/real/MUTAG/real_MUTAG_0012.graphml,data/images/real_MUTAG_0012.png
real_MUTAG_0013,real,MUTAG,small,22,25,{},networkx_spring,2763506512,data/raw/real/MUTAG/real_MUTAG_0013.graphml,data/images/real_MUTAG_0013.png
real_MUTAG_0014,real,MUTAG,small,13,14,{},networkx_spring,3610745137,data/raw/real/MUTAG/real_MUTAG_0014.graphml,data/images/real_MUTAG_0014.png
real_MUTAG_0015,real,MUTAG,small,19,22,{},networkx_spring,908495045,data/raw/real/MUTAG/real_MUTAG_0015.graphml,data/images/real_MUTAG_0015.png
real_MUTAG_0016,real,MUTAG,small,22,25,{},networkx_spring,3689515774,data/raw/real/MUTAG/real_MUTAG_0016.graphml,data/images/real_MUTAG_0016.png
real_MUTAG_0017,real,MUTAG,small,11,11,{},networkx_spring,961954994,data/raw/real/MUTAG/real_MUTAG_0017.graphml,data/images/real_MUTAG_0017.png
real_MUTAG_0018,real,MUTAG,small,17,19,{},networkx_spring,837998986,data/raw/real/MUTAG/real_MUTAG_0018.graphml,data/images/real_MUTAG_0018.png
real_MUTAG_0019,real,MUTAG,small,13,14,{},networkx_spring,3553670606,data/raw/real/MUTAG/real_MUTAG_0019.graphml,data/images/real_MUTAG_0019.png
real_MUTAG_0020,real,MUTAG,small,18,20,{},networkx_spring,1881983865,data/raw/real/MUTAG/real_MUTAG_0020.graphml,data/images/real_MUTAG_0020.png
real_MUTAG_0021,real,MUTAG,small,18,19,{},networkx_spring,3877601310,data/raw/real/MUTAG/real_MUTAG_0021.graphml,data/images/real_MUTAG_0021.png
real_MUTAG_0022,real,MUTAG,small,17,19,{},networkx_spring,1575451599,data/raw/real/MUTAG/real_MUTAG_0022.graphml,data/images/real_MUTAG_0022.png
real_MUTAG_0023,real,MUTAG,small,23,27,{},networkx_spring,2645961677,data/raw/real/MUTAG/real_MUTAG_0023.graphml,data/images/real_MUTAG_0023.png
real_MUTAG_0024,real,MUTAG,medium,27,33,{},networkx_spring,460855851,data/raw/real/MUTAG/real_MUTAG_0024.graphml,data/images/real_MUTAG_0024.png
real_MUTAG_0025,real,MUTAG,small,17,19,{},networkx_spring,3101169149,data/raw/real/MUTAG/real_MUTAG_0025.graphml,data/images/real_MUTAG_0025.png
real_MUTAG_0026,real,MUTAG,small,13,13,{},networkx_spring,2345095364,data/raw/real/MUTAG/real_MUTAG_0026.graphml,data/images/real_MUTAG_0026.png
real_MUTAG_0027,real,MUTAG,small,23,27,{},networkx_spring,512448250,data/raw/real/MUTAG/real_MUTAG_0027.graphml,data/images/real_MUTAG_0027.png
real_MUTAG_0028,real,MUTAG,small,17,19,{},networkx_spring,2864090607,data/raw/real/MUTAG/real_MUTAG_0028.graphml,data/images/real_MUTAG_0028.png
real_MUTAG_0029,real,MUTAG,small,23,25,{},networkx_spring,1354958407,data/raw/real/MUTAG/real_MUTAG_0029.graphml,data/images/real_MUTAG_0029.png
real_MUTAG_0030,real,MUTAG,small,23,27,{},networkx_spring,1062179109,data/raw/real/MUTAG/real_MUTAG_0030.graphml,data/images/real_MUTAG_0030.png
real_MUTAG_0031,real,MUTAG,small,22,25,{},networkx_spring,1300242772,data/raw/real/MUTAG/real_MUTAG_0031.graphml,data/images/real_MUTAG_0031.png
real_MUTAG_0032,real,MUTAG,small,24,25,{},networkx_spring,511894812,data/raw/real/MUTAG/real_MUTAG_0032.graphml,data/images/real_MUTAG_0032.png
