graph_id,source,generator,tier,num_nodes,num_edges,gen_params,layout_algorithm,layout_seed,graph_path,image_path,density,density_bucket
syn_barabasi_albert_tiny_0099,synthetic,barabasi_albert,tiny,8,16,"{""n"": 8, ""m"": 4}",graphviz_sfdp,636420677,data/raw/synthetic/syn_barabasi_albert_tiny_0099.graphml,data/images/syn_barabasi_albert_tiny_0099.png,0.5714285714285714,dense
syn_barabasi_albert_medium_0008,synthetic,barabasi_albert,medium,45,200,"{""n"": 45, ""m"": 5}",graphviz_sfdp,1028646007,data/raw/synthetic/syn_barabasi_albert_medium_0008.graphml,data/images/syn_barabasi_albert_medium_0008.png,0.20202020202020202,medium
syn_barabasi_albert_tiny_0098,synthetic,barabasi_albert,tiny,9,20,"{""n"": 9, ""m"": 5}",graphviz_sfdp,2848915002,data/raw/synthetic/syn_barabasi_albert_tiny_0098.graphml,data/images/syn_barabasi_albert_tiny_0098.png,0.5555555555555556,dense
syn_barabasi_albert_large_0047,synthetic,barabasi_albert,large,55,204,"{""n"": 55, ""m"": 4}",graphviz_sfdp,3930898928,data/raw/synthetic/syn_barabasi_albert_large_0047.graphml,data/images/syn_barabasi_albert_large_0047.png,0.13737373737373737,sparse
syn_barabasi_albert_large_0041,synthetic,barabasi_albert,large,95,364,"{""n"": 95, ""m"": 4}",graphviz_sfdp,3652779176,data/raw/synthetic/syn_barabasi_albert_large_0041.graphml,data/images/syn_barabasi_albert_large_0041.png,0.08152295632698768,sparse
syn_barabasi_albert_medium_0108,synthetic,barabasi_albert,medium,29,100,"{""n"": 29, ""m"": 4}",graphviz_sfdp,1644921628,data/raw/synthetic/syn_barabasi_albert_medium_0108.graphml,data/images/syn_barabasi_albert_medium_0108.png,0.24630541871921183,medium
syn_barabasi_albert_large_0046,synthetic,barabasi_albert,large,58,112,"{""n"": 58, ""m"": 2}",graphviz_sfdp,3866574650,data/raw/synthetic/syn_barabasi_albert_large_0046.graphml,data/images/syn_barabasi_albert_large_0046.png,0.0677555958862674,sparse
syn_barabasi_albert_tiny_0054,synthetic,barabasi_albert,tiny,10,25,"{""n"": 10, ""m"": 5}",graphviz_sfdp,4134764985,data/raw/synthetic/syn_barabasi_albert_tiny_0054.graphml,data/images/syn_barabasi_albert_tiny_0054.png,0.5555555555555556,dense
syn_barabasi_albert_small_0077,synthetic,barabasi_albert,small,10,25,"{""n"": 10, ""m"": 5}",graphviz_sfdp,1358331989,data/raw/synthetic/syn_barabasi_albert_small_0077.graphml,data/images/syn_barabasi_albert_small_0077.png,0.5555555555555556,dense
syn_barabasi_albert_medium_0035,synthetic,barabasi_albert,medium,43,156,"{""n"": 43, ""m"": 4}",graphviz_sfdp,2389897870,data/raw/synthetic/syn_barabasi_albert_medium_0035.graphml,data/images/syn_barabasi_albert_medium_0035.png,0.17275747508305647,medium
syn_barabasi_albert_small_0042,synthetic,barabasi_albert,small,25,100,"{""n"": 25, ""m"": 5}",graphviz_sfdp,897915258,data/raw/synthetic/syn_barabasi_albert_small_0042.graphml,data/images/syn_barabasi_albert_small_0042.png,0.3333333333333333,medium
syn_barabasi_albert_medium_0111,synthetic,barabasi_albert,medium,49,94,"{""n"": 49, ""m"": 2}",graphviz_sfdp,2143822817,data/raw/synthetic/syn_barabasi_albert_medium_0111.graphml,data/images/syn_barabasi_albert_medium_0111.png,0.07993197278911565,sparse
