model,split,breakdown,group_value,target,metric,value,n
cnn,test,overall,all,num_vertices,mae,3.2,375
cnn,test,overall,all,num_edges,mae,25.389333333333333,375
cnn,test,overall,all,num_vertices,rmse,6.079473661428265,375
cnn,test,overall,all,num_edges,rmse,81.75206419412295,375
cnn,test,generator,barabasi_albert,num_vertices,mae,2.8266666666666667,75
cnn,test,generator,barabasi_albert,num_edges,mae,13.8,75
cnn,test,generator,barabasi_albert,num_vertices,rmse,5.217917847826532,75
cnn,test,generator,barabasi_albert,num_edges,rmse,25.78190579973999,75
cnn,test,generator,dense,num_vertices,mae,1.7466666666666666,75
cnn,test,generator,dense,num_edges,mae,75.62666666666667,75
cnn,test,generator,dense,num_vertices,rmse,3.104834939252005,75
cnn,test,generator,dense,num_edges,rmse,166.6987702414148,75
cnn,test,generator,erdos_renyi,num_vertices,mae,2.466666666666667,75
cnn,test,generator,erdos_renyi,num_edges,mae,22.48,75
cnn,test,generator,erdos_renyi,num_vertices,rmse,4.905778905196061,75
cnn,test,generator,erdos_renyi,num_edges,rmse,67.37259581362935,75
cnn,test,generator,random_tree,num_vertices,mae,5.693333333333333,75
cnn,test,generator,random_tree,num_edges,mae,4.773333333333333,75
cnn,test,generator,random_tree,num_vertices,rmse,9.364471866225736,75
cnn,test,generator,random_tree,num_edges,rmse,7.805980613179444,75
cnn,test,generator,watts_strogatz,num_vertices,mae,3.2666666666666666,75
cnn,test,generator,watts_strogatz,num_edges,mae,10.266666666666667,75
cnn,test,generator,watts_strogatz,num_vertices,rmse,6.014427099344819,75
cnn,test,generator,watts_strogatz,num_edges,rmse,19.073891405094383,75
cnn,test,density_bucket,dense,num_vertices,mae,1.2727272727272727,110
cnn,test,density_bucket,dense,num_edges,mae,51.81818181818182,110
cnn,test,density_bucket,dense,num_vertices,rmse,2.5584085962673253,110
cnn,test,density_bucket,dense,num_edges,rmse,137.47713859534477,110
cnn,test,density_bucket,medium,num_vertices,mae,1.2755102040816326,98
cnn,test,density_bucket,medium,num_edges,mae,17.928571428571427,98
cnn,test,density_bucket,medium,num_vertices,rmse,2.5253813613805267,98
cnn,test,density_bucket,medium,num_edges,rmse,58.460085807780516,98
cnn,test,density_bucket,sparse,num_vertices,mae,5.598802395209581,167
cnn,test,density_bucket,sparse,num_edges,mae,12.359281437125748,167
cnn,test,density_bucket,sparse,num_vertices,rmse,8.656796160270787,167
cnn,test,density_bucket,sparse,num_edges,rmse,23.5165886156934,167
cnn,held_out,overall,all,num_vertices,mae,10.615680245964642,1301
cnn,held_out,overall,all,num_edges,mae,28.02920830130669,1301
cnn,held_out,overall,all,num_vertices,rmse,31.30228753983882,1301
cnn,held_out,overall,all,num_edges,rmse,67.7190697355011,1301
cnn,held_out,generator,MUTAG,num_vertices,mae,1.074468085106383,188
cnn,held_out,generator,MUTAG,num_edges,mae,1.8457446808510638,188
cnn,held_out,generator,MUTAG,num_vertices,rmse,1.3837968120433277,188
cnn,held_out,generator,MUTAG,num_edges,rmse,2.1940441625532614,188
cnn,held_out,generator,PROTEINS,num_vertices,mae,12.227313566936209,1113
cnn,held_out,generator,PROTEINS,num_edges,mae,32.45193171608266,1113
cnn,held_out,generator,PROTEINS,num_vertices,rmse,33.838087601203746,1113
cnn,held_out,generator,PROTEINS,num_edges,rmse,73.20978116004886,1113
cnn,held_out,density_bucket,dense,num_vertices,mae,0.4305555555555556,144
cnn,held_out,density_bucket,dense,num_edges,mae,1.125,144
cnn,held_out,density_bucket,dense,num_vertices,rmse,0.6561673228343176,144
cnn,held_out,density_bucket,dense,num_edges,rmse,1.509230856356236,144
cnn,held_out,density_bucket,medium,num_vertices,mae,2.0252631578947367,475
cnn,held_out,density_bucket,medium,num_edges,mae,5.9115789473684215,475
cnn,held_out,density_bucket,medium,num_vertices,rmse,2.6325892797376262,475
cnn,held_out,density_bucket,medium,num_edges,rmse,8.170292786095631,475
cnn,held_out,density_bucket,sparse,num_vertices,mae,18.74926686217009,682
cnn,held_out,density_bucket,sparse,num_edges,mae,49.11436950146628,682
cnn,held_out,density_bucket,sparse,num_vertices,rmse,43.17680014059902,682
cnn,held_out,density_bucket,sparse,num_edges,rmse,93.27995261639718,682
cnn,held_out,tier,large,num_vertices,mae,20.73913043478261,184
cnn,held_out,tier,large,num_edges,mae,64.31521739130434,184
cnn,held_out,tier,large,num_vertices,rmse,24.504657942308953,184
cnn,held_out,tier,large,num_edges,rmse,72.42222214810565,184
cnn,held_out,tier,medium,num_vertices,mae,7.249266862170088,341
cnn,held_out,tier,medium,num_edges,mae,24.20234604105572,341
cnn,held_out,tier,medium,num_vertices,rmse,8.452732123515222,341
cnn,held_out,tier,medium,num_edges,rmse,27.807201750773327,341
cnn,held_out,tier,small,num_vertices,mae,1.7018739352640546,587
cnn,held_out,tier,small,num_edges,mae,4.448040885860307,587
cnn,held_out,tier,small,num_vertices,rmse,2.2482247397466426,587
cnn,held_out,tier,small,num_edges,rmse,6.417740531246604,587
cnn,held_out,tier,tiny,num_vertices,mae,0.4016393442622951,122
cnn,held_out,tier,tiny,num_edges,mae,1.040983606557377,122
cnn,held_out,tier,tiny,num_vertices,rmse,0.6337502222976297,122
cnn,held_out,tier,tiny,num_edges,rmse,1.3996486678601252,122
cnn,held_out,tier,xlarge,num_vertices,mae,96.64179104477611,67
cnn,held_out,tier,xlarge,num_edges,mae,203.59701492537314,67
cnn,held_out,tier,xlarge,num_vertices,rmse,130.26351019971878,67
cnn,held_out,tier,xlarge,num_edges,rmse,265.224573949824,67
