split,graph_id,generator,tier,density,num_nodes,pred_num_vertices,num_edges,pred_num_edges,abs_edge_error
test,syn_dense_large_0069,dense,large,0.5782,99,94,2805,1721,1084
held_out,real_PROTEINS_0021,PROTEINS,xlarge,0.0088,481,109,1012,112,900
held_out,real_PROTEINS_0077,PROTEINS,xlarge,0.0055,620,105,1049,190,859
held_out,real_PROTEINS_0006,PROTEINS,xlarge,0.0145,336,73,816,81,735
held_out,real_PROTEINS_0245,PROTEINS,xlarge,0.0071,504,121,894,214,680
test,syn_erdos_renyi_large_0074,erdos_renyi,large,0.2916,91,94,1194,1630,436
test,syn_dense_large_0043,dense,large,0.6733,70,71,1626,1203,423
held_out,real_PROTEINS_0262,PROTEINS,xlarge,0.0209,208,36,450,43,407
held_out,real_PROTEINS_0180,PROTEINS,xlarge,0.0185,229,64,483,96,387
held_out,real_PROTEINS_0233,PROTEINS,xlarge,0.0135,273,85,501,136,365
