graph_id,source,generator,tier,num_nodes,num_edges,gen_params,layout_algorithm,layout_seed,graph_path,image_path,density,density_bucket,pred_num_vertices,pred_num_edges,abs_edge_error,abs_vertex_error,category,split
syn_barabasi_albert_large_0043,synthetic,barabasi_albert,large,52,51,"{""n"": 52, ""m"": 1}",graphviz_sfdp,2091924410,data/raw/synthetic/syn_barabasi_albert_large_0043.graphml,data/images/syn_barabasi_albert_large_0043.png,0.0384615384615384,sparse,49,54,3,3,in_distribution_normal,test
syn_barabasi_albert_large_0123,synthetic,barabasi_albert,large,60,59,"{""n"": 60, ""m"": 1}",graphviz_sfdp,4230296973,data/raw/synthetic/syn_barabasi_albert_large_0123.graphml,data/images/syn_barabasi_albert_large_0123.png,0.0333333333333333,sparse,56,62,3,4,in_distribution_normal,test
syn_barabasi_albert_large_0018,synthetic,barabasi_albert,large,65,186,"{""n"": 65, ""m"": 3}",graphviz_sfdp,3119232026,data/raw/synthetic/syn_barabasi_albert_large_0018.graphml,data/images/syn_barabasi_albert_large_0018.png,0.0894230769230769,sparse,65,225,39,0,in_distribution_normal,test
syn_barabasi_albert_medium_0043,synthetic,barabasi_albert,medium,38,37,"{""n"": 38, ""m"": 1}",graphviz_sfdp,818397288,data/raw/synthetic/syn_barabasi_albert_medium_0043.graphml,data/images/syn_barabasi_albert_medium_0043.png,0.0526315789473684,sparse,36,37,0,2,in_distribution_normal,test
syn_barabasi_albert_small_0048,synthetic,barabasi_albert,small,12,35,"{""n"": 12, ""m"": 5}",graphviz_sfdp,190227230,data/raw/synthetic/syn_barabasi_albert_small_0048.graphml,data/images/syn_barabasi_albert_small_0048.png,0.5303030303030303,dense,12,30,5,0,high_density_clutter,test
syn_barabasi_albert_small_0060,synthetic,barabasi_albert,small,17,42,"{""n"": 17, ""m"": 3}",graphviz_sfdp,2771290657,data/raw/synthetic/syn_barabasi_albert_small_0060.graphml,data/images/syn_barabasi_albert_small_0060.png,0.3088235294117647,medium,16,33,9,1,in_distribution_normal,test
syn_barabasi_albert_large_0077,synthetic,barabasi_albert,large,72,71,"{""n"": 72, ""m"": 1}",graphviz_sfdp,890267792,data/raw/synthetic/syn_barabasi_albert_large_0077.graphml,data/images/syn_barabasi_albert_large_0077.png,0.0277777777777777,sparse,65,69,2,7,in_distribution_normal,test
syn_barabasi_albert_small_0064,synthetic,barabasi_albert,small,10,24,"{""n"": 10, ""m"": 4}",graphviz_sfdp,3393198547,data/raw/synthetic/syn_barabasi_albert_small_0064.graphml,data/images/syn_barabasi_albert_small_0064.png,0.5333333333333333,dense,10,22,2,0,high_density_clutter,test
syn_barabasi_albert_small_0047,synthetic,barabasi_albert,small,17,60,"{""n"": 17, ""m"": 5}",graphviz_sfdp,3585230207,data/raw/synthetic/syn_barabasi_albert_small_0047.graphml,data/images/syn_barabasi_albert_small_0047.png,0.4411764705882353,dense,16,51,9,1,high_density_clutter,test
syn_barabasi_albert_medium_0084,synthetic,barabasi_albert,medium,37,132,"{""n"": 37, ""m"": 4}",graphviz_sfdp,2836475877,data/raw/synthetic/syn_barabasi_albert_medium_0084.graphml,data/images/syn_barabasi_albert_medium_0084.png,0.1981981981981982,medium,40,174,42,3,in_distribution_normal,test
