model,split,breakdown,group_value,target,metric,value,n
gcn,test,overall,all,num_vertices,mae,13783.928,375
gcn,test,overall,all,num_edges,mae,55717.38933333333,375
gcn,test,overall,all,num_vertices,rmse,103278.86926431111,375
gcn,test,overall,all,num_edges,rmse,233171.3327550709,375
gcn,test,generator,barabasi_albert,num_vertices,mae,30.746666666666666,75
gcn,test,generator,barabasi_albert,num_edges,mae,109.13333333333334,75
gcn,test,generator,barabasi_albert,num_vertices,rmse,36.942838728681004,75
gcn,test,generator,barabasi_albert,num_edges,rmse,158.64244913221262,75
gcn,test,generator,dense,num_vertices,mae,68131.50666666667,75
gcn,test,generator,dense,num_edges,mae,249823.36,75
gcn,test,generator,dense,num_vertices,rmse,230906.55560328584,75
gcn,test,generator,dense,num_edges,rmse,494965.47434909706,75
gcn,test,generator,erdos_renyi,num_vertices,mae,684.2666666666667,75
gcn,test,generator,erdos_renyi,num_edges,mae,28542.013333333332,75
gcn,test,generator,erdos_renyi,num_vertices,rmse,3844.6414449204494,75
gcn,test,generator,erdos_renyi,num_edges,rmse,163870.35278711442,75
gcn,test,generator,random_tree,num_vertices,mae,36.14666666666667,75
gcn,test,generator,random_tree,num_edges,mae,33.53333333333333,75
gcn,test,generator,random_tree,num_vertices,rmse,44.494344209873084,75
gcn,test,generator,random_tree,num_edges,rmse,41.2454441928641,75
gcn,test,generator,watts_strogatz,num_vertices,mae,36.973333333333336,75
gcn,test,generator,watts_strogatz,num_edges,mae,78.90666666666667,75
gcn,test,generator,watts_strogatz,num_vertices,rmse,46.36421033512811,75
gcn,test,generator,watts_strogatz,num_edges,rmse,109.11034170355562,75
gcn,test,density_bucket,dense,num_vertices,mae,46456.3,110
gcn,test,density_bucket,dense,num_edges,mae,170339.69090909092,110
gcn,test,density_bucket,dense,num_vertices,rmse,190664.81321940583,110
gcn,test,density_bucket,dense,num_edges,rmse,408704.28859206435,110
gcn,test,density_bucket,medium,num_vertices,mae,524.3877551020408,98
gcn,test,density_bucket,medium,num_edges,mae,21851.918367346938,98
gcn,test,density_bucket,medium,num_vertices,rmse,3363.334939961726,98
gcn,test,density_bucket,medium,num_edges,rmse,143356.69439192433,98
gcn,test,density_bucket,sparse,num_vertices,mae,44.25149700598802,167
gcn,test,density_bucket,sparse,num_edges,mae,90.82035928143712,167
gcn,test,density_bucket,sparse,num_vertices,rmse,50.47949723123798,167
gcn,test,density_bucket,sparse,num_edges,rmse,134.06377515340688,167
gcn,held_out,overall,all,num_vertices,mae,35.65488086087625,1301
gcn,held_out,overall,all,num_edges,mae,64.8531898539585,1301
gcn,held_out,overall,all,num_vertices,rmse,54.792930024139835,1301
gcn,held_out,overall,all,num_edges,rmse,101.92279786973911,1301
gcn,held_out,generator,MUTAG,num_vertices,mae,17.930851063829788,188
gcn,held_out,generator,MUTAG,num_edges,mae,19.77127659574468,188
gcn,held_out,generator,MUTAG,num_vertices,rmse,18.50546210337841,188
gcn,held_out,generator,MUTAG,num_edges,rmse,20.56528266433092,188
gcn,held_out,generator,PROTEINS,num_vertices,mae,38.64869721473495,1113
gcn,held_out,generator,PROTEINS,num_edges,mae,72.46810422282121,1113
gcn,held_out,generator,PROTEINS,num_vertices,rmse,58.749823650592695,1113
gcn,held_out,generator,PROTEINS,num_edges,rmse,109.87050697019102,1113
gcn,held_out,density_bucket,dense,num_vertices,mae,7.270833333333333,144
gcn,held_out,density_bucket,dense,num_edges,mae,13.402777777777779,144
gcn,held_out,density_bucket,dense,num_vertices,rmse,7.540170201438868,144
gcn,held_out,density_bucket,dense,num_edges,rmse,14.073714664026852,144
gcn,held_out,density_bucket,medium,num_vertices,mae,17.49684210526316,475
gcn,held_out,density_bucket,medium,num_edges,mae,31.873684210526317,475
gcn,held_out,density_bucket,medium,num_vertices,rmse,18.173143863810047,475
gcn,held_out,density_bucket,medium,num_edges,rmse,34.37514401883706,475
gcn,held_out,density_bucket,sparse,num_vertices,mae,54.294721407624635,682
gcn,held_out,density_bucket,sparse,num_edges,mae,98.68621700879766,682
gcn,held_out,density_bucket,sparse,num_vertices,rmse,74.06192423709284,682
gcn,held_out,density_bucket,sparse,num_edges,rmse,137.6665400390898,682
gcn,held_out,tier,large,num_vertices,mae,68.22826086956522,184
gcn,held_out,tier,large,num_edges,mae,129.3695652173913,184
gcn,held_out,tier,large,num_vertices,rmse,69.7600701784649,184
gcn,held_out,tier,large,num_edges,rmse,132.97580688753615,184
gcn,held_out,tier,medium,num_vertices,mae,34.12023460410557,341
gcn,held_out,tier,medium,num_edges,mae,64.93841642228739,341
gcn,held_out,tier,medium,num_vertices,rmse,34.708209749955714,341
gcn,held_out,tier,medium,num_edges,rmse,66.9142226771031,341
gcn,held_out,tier,small,num_vertices,mae,17.275979557069846,587
gcn,held_out,tier,small,num_edges,mae,28.296422487223168,587
gcn,held_out,tier,small,num_vertices,rmse,17.820274424913226,587
gcn,held_out,tier,small,num_edges,rmse,30.095362346264935,587
gcn,held_out,tier,tiny,num_vertices,mae,6.680327868852459,122
gcn,held_out,tier,tiny,num_edges,mae,11.991803278688524,122
gcn,held_out,tier,tiny,num_vertices,rmse,6.870583529278054,122
gcn,held_out,tier,tiny,num_edges,rmse,12.460100254839675,122
gcn,held_out,tier,xlarge,num_vertices,mae,167.7910447761194,67
gcn,held_out,tier,xlarge,num_edges,mae,303.7761194029851,67
gcn,held_out,tier,xlarge,num_vertices,rmse,189.56194592608395,67
gcn,held_out,tier,xlarge,num_edges,rmse,349.50056050176056,67
