model,split,breakdown,group_value,target,metric,value,n
graph_statistic,test,overall,all,num_vertices,mae,0.0,375
graph_statistic,test,overall,all,num_edges,mae,0.0,375
graph_statistic,test,overall,all,num_vertices,rmse,0.0,375
graph_statistic,test,overall,all,num_edges,rmse,0.0,375
graph_statistic,test,generator,barabasi_albert,num_vertices,mae,0.0,75
graph_statistic,test,generator,barabasi_albert,num_edges,mae,0.0,75
graph_statistic,test,generator,barabasi_albert,num_vertices,rmse,0.0,75
graph_statistic,test,generator,barabasi_albert,num_edges,rmse,0.0,75
graph_statistic,test,generator,dense,num_vertices,mae,0.0,75
graph_statistic,test,generator,dense,num_edges,mae,0.0,75
graph_statistic,test,generator,dense,num_vertices,rmse,0.0,75
graph_statistic,test,generator,dense,num_edges,rmse,0.0,75
graph_statistic,test,generator,erdos_renyi,num_vertices,mae,0.0,75
graph_statistic,test,generator,erdos_renyi,num_edges,mae,0.0,75
graph_statistic,test,generator,erdos_renyi,num_vertices,rmse,0.0,75
graph_statistic,test,generator,erdos_renyi,num_edges,rmse,0.0,75
graph_statistic,test,generator,random_tree,num_vertices,mae,0.0,75
graph_statistic,test,generator,random_tree,num_edges,mae,0.0,75
graph_statistic,test,generator,random_tree,num_vertices,rmse,0.0,75
graph_statistic,test,generator,random_tree,num_edges,rmse,0.0,75
graph_statistic,test,generator,watts_strogatz,num_vertices,mae,0.0,75
graph_statistic,test,generator,watts_strogatz,num_edges,mae,0.0,75
graph_statistic,test,generator,watts_strogatz,num_vertices,rmse,0.0,75
graph_statistic,test,generator,watts_strogatz,num_edges,rmse,0.0,75
graph_statistic,test,density_bucket,dense,num_vertices,mae,0.0,110
graph_statistic,test,density_bucket,dense,num_edges,mae,0.0,110
graph_statistic,test,density_bucket,dense,num_vertices,rmse,0.0,110
graph_statistic,test,density_bucket,dense,num_edges,rmse,0.0,110
graph_statistic,test,density_bucket,medium,num_vertices,mae,0.0,98
graph_statistic,test,density_bucket,medium,num_edges,mae,0.0,98
graph_statistic,test,density_bucket,medium,num_vertices,rmse,0.0,98
graph_statistic,test,density_bucket,medium,num_edges,rmse,0.0,98
graph_statistic,test,density_bucket,sparse,num_vertices,mae,0.0,167
graph_statistic,test,density_bucket,sparse,num_edges,mae,0.0,167
graph_statistic,test,density_bucket,sparse,num_vertices,rmse,0.0,167
graph_statistic,test,density_bucket,sparse,num_edges,rmse,0.0,167
graph_statistic,held_out,overall,all,num_vertices,mae,0.0,1301
graph_statistic,held_out,overall,all,num_edges,mae,0.0,1301
graph_statistic,held_out,overall,all,num_vertices,rmse,0.0,1301
graph_statistic,held_out,overall,all,num_edges,rmse,0.0,1301
graph_statistic,held_out,generator,MUTAG,num_vertices,mae,0.0,188
graph_statistic,held_out,generator,MUTAG,num_edges,mae,0.0,188
graph_statistic,held_out,generator,MUTAG,num_vertices,rmse,0.0,188
graph_statistic,held_out,generator,MUTAG,num_edges,rmse,0.0,188
graph_statistic,held_out,generator,PROTEINS,num_vertices,mae,0.0,1113
graph_statistic,held_out,generator,PROTEINS,num_edges,mae,0.0,1113
graph_statistic,held_out,generator,PROTEINS,num_vertices,rmse,0.0,1113
graph_statistic,held_out,generator,PROTEINS,num_edges,rmse,0.0,1113
graph_statistic,held_out,density_bucket,dense,num_vertices,mae,0.0,144
graph_statistic,held_out,density_bucket,dense,num_edges,mae,0.0,144
graph_statistic,held_out,density_bucket,dense,num_vertices,rmse,0.0,144
graph_statistic,held_out,density_bucket,dense,num_edges,rmse,0.0,144
graph_statistic,held_out,density_bucket,medium,num_vertices,mae,0.0,475
graph_statistic,held_out,density_bucket,medium,num_edges,mae,0.0,475
graph_statistic,held_out,density_bucket,medium,num_vertices,rmse,0.0,475
graph_statistic,held_out,density_bucket,medium,num_edges,rmse,0.0,475
graph_statistic,held_out,density_bucket,sparse,num_vertices,mae,0.0,682
graph_statistic,held_out,density_bucket,sparse,num_edges,mae,0.0,682
graph_statistic,held_out,density_bucket,sparse,num_vertices,rmse,0.0,682
graph_statistic,held_out,density_bucket,sparse,num_edges,rmse,0.0,682
graph_statistic,held_out,tier,large,num_vertices,mae,0.0,184
graph_statistic,held_out,tier,large,num_edges,mae,0.0,184
graph_statistic,held_out,tier,large,num_vertices,rmse,0.0,184
graph_statistic,held_out,tier,large,num_edges,rmse,0.0,184
graph_statistic,held_out,tier,medium,num_vertices,mae,0.0,341
graph_statistic,held_out,tier,medium,num_edges,mae,0.0,341
graph_statistic,held_out,tier,medium,num_vertices,rmse,0.0,341
graph_statistic,held_out,tier,medium,num_edges,rmse,0.0,341
graph_statistic,held_out,tier,small,num_vertices,mae,0.0,587
graph_statistic,held_out,tier,small,num_edges,mae,0.0,587
graph_statistic,held_out,tier,small,num_vertices,rmse,0.0,587
graph_statistic,held_out,tier,small,num_edges,rmse,0.0,587
graph_statistic,held_out,tier,tiny,num_vertices,mae,0.0,122
graph_statistic,held_out,tier,tiny,num_edges,mae,0.0,122
graph_statistic,held_out,tier,tiny,num_vertices,rmse,0.0,122
graph_statistic,held_out,tier,tiny,num_edges,rmse,0.0,122
graph_statistic,held_out,tier,xlarge,num_vertices,mae,0.0,67
graph_statistic,held_out,tier,xlarge,num_edges,mae,0.0,67
graph_statistic,held_out,tier,xlarge,num_vertices,rmse,0.0,67
graph_statistic,held_out,tier,xlarge,num_edges,rmse,0.0,67
