split,metric_x,metric_y,pearson_r,p_value,n
test,ink_fraction,num_nodes,0.5377567667259052,1.7191466189349552e-29,375
test,ink_fraction,num_edges,0.8235066060368296,7.475762048804727e-94,375
test,ink_fraction,pred_num_vertices,0.6182035406802855,6.593881534554478e-41,375
test,ink_fraction,pred_num_edges,0.8452534983126666,1.4862214780391823e-103,375
test,mean_component_area,num_nodes,0.5520841337506608,2.660845654963086e-31,375
test,mean_component_area,pred_num_vertices,0.6272470056969262,2.1023516639126307e-42,375
test,num_components,num_nodes,-0.24026777534403254,2.5219015088386896e-06,375
held_out,ink_fraction,num_nodes,0.07001115421367947,0.011539204233631096,1301
held_out,ink_fraction,num_edges,0.09299919668888364,0.0007837256094581601,1301
held_out,ink_fraction,pred_num_vertices,0.1722127846174533,4.0417969377802136e-10,1301
held_out,ink_fraction,pred_num_edges,0.4654035072443793,6.57956539697725e-71,1301
held_out,mean_component_area,num_nodes,-0.08304270777156048,0.0027211606608975153,1301
held_out,mean_component_area,pred_num_vertices,0.0010261260741408825,0.9705040127191825,1301
held_out,num_components,num_nodes,0.3080820003452588,5.28631018078292e-30,1301
