split,breakdown,group_value,target,metric,cnn,gcn,graph_statistic
held_out,density_bucket,dense,num_edges,mae,1.125,72.09722222222223,6.506944444444445
held_out,density_bucket,dense,num_edges,rmse,1.509230856356236,83.57315491365766,6.618051912089472
held_out,density_bucket,dense,num_vertices,mae,0.4305555555555556,13.9375,0.0
held_out,density_bucket,dense,num_vertices,rmse,0.6561673228343176,15.461196949496216,0.0
held_out,density_bucket,medium,num_edges,mae,5.9115789473684215,44.96,12.633684210526315
held_out,density_bucket,medium,num_edges,rmse,8.170292786095631,56.783059000671,16.909853869703806
held_out,density_bucket,medium,num_vertices,mae,2.0252631578947367,7.570526315789474,0.0
held_out,density_bucket,medium,num_vertices,rmse,2.6325892797376262,9.54722334944619,0.0
held_out,density_bucket,sparse,num_edges,mae,49.11436950146628,61.89882697947214,683.5425219941349
held_out,density_bucket,sparse,num_edges,rmse,93.27995261639718,112.76236269200241,2976.7854894902794
held_out,density_bucket,sparse,num_vertices,mae,18.74926686217009,32.12903225806452,0.0
held_out,density_bucket,sparse,num_vertices,rmse,43.17680014059902,59.95592222600428,0.0
held_out,generator,MUTAG,num_edges,mae,1.8457446808510638,17.03191489361702,24.595744680851062
held_out,generator,MUTAG,num_edges,rmse,2.1940441625532614,20.807885166599295,29.80468333896823
held_out,generator,MUTAG,num_vertices,mae,1.074468085106383,5.452127659574468,0.0
held_out,generator,MUTAG,num_vertices,rmse,1.3837968120433277,6.927051505019397,0.0
held_out,generator,PROTEINS,num_edges,mae,32.45193171608266,63.56783468104223,420.92542677448336
held_out,generator,PROTEINS,num_edges,rmse,73.20978116004886,99.99004892087294,2330.189556125272
held_out,generator,PROTEINS,num_vertices,mae,12.227313566936209,23.80053908355795,0.0
held_out,generator,PROTEINS,num_vertices,rmse,33.838087601203746,47.58585186160304,0.0
held_out,overall,all,num_edges,mae,28.02920830130669,56.84319754035357,363.65411222136817
held_out,overall,all,num_edges,rmse,67.7190697355011,92.82144637417916,2155.2923426404195
held_out,overall,all,num_vertices,mae,10.615680245964642,21.149116064565717,0.0
held_out,overall,all,num_vertices,rmse,31.30228753983882,44.09228844227598,0.0
held_out,tier,large,num_edges,mae,64.31521739130434,79.21739130434783,544.1630434782609
held_out,tier,large,num_edges,rmse,72.42222214810565,87.01324237049259,606.2650177431734
held_out,tier,large,num_vertices,mae,20.73913043478261,43.80978260869565,0.0
held_out,tier,large,num_vertices,rmse,24.504657942308953,46.532889257048026,0.0
held_out,tier,medium,num_edges,mae,24.20234604105572,23.885630498533725,97.96774193548387
held_out,tier,medium,num_edges,rmse,27.807201750773327,29.595761367281817,110.42900879028433
held_out,tier,medium,num_vertices,mae,7.249266862170088,10.55425219941349,0.0
held_out,tier,medium,num_vertices,rmse,8.452732123515222,12.725733044698316,0.0
held_out,tier,small,num_edges,mae,4.448040885860307,42.182282793867124,14.759795570698467
held_out,tier,small,num_edges,rmse,6.417740531246604,54.37636211064892,19.072979183214642
held_out,tier,small,num_vertices,mae,1.7018739352640546,7.678023850085179,0.0
held_out,tier,small,num_vertices,rmse,2.2482247397466426,9.518295840484507,0.0
held_out,tier,tiny,num_edges,mae,1.040983606557377,71.09016393442623,6.254098360655738
held_out,tier,tiny,num_edges,rmse,1.3996486678601252,83.72070077170233,6.405044118812487
held_out,tier,tiny,num_vertices,mae,0.4016393442622951,13.647540983606557,0.0
held_out,tier,tiny,num_vertices,rmse,0.6337502222976297,15.396135346461376,0.0
held_out,tier,xlarge,num_edges,mae,203.59701492537314,265.64179104477614,4927.671641791045
held_out,tier,xlarge,num_edges,rmse,265.224573949824,321.53145664450983,9440.709295386656
held_out,tier,xlarge,num_vertices,mae,96.64179104477611,144.52238805970148,0.0
held_out,tier,xlarge,num_vertices,rmse,130.26351019971878,172.49585761844367,0.0
test,density_bucket,dense,num_edges,mae,51.81818181818182,354.7090909090909,55.21818181818182
test,density_bucket,dense,num_edges,rmse,137.47713859534477,688.8899767016501,110.7817674529523
test,density_bucket,dense,num_vertices,mae,1.2727272727272727,17.972727272727273,0.0
test,density_bucket,dense,num_vertices,rmse,2.5584085962673253,24.923701753369404,0.0
test,density_bucket,medium,num_edges,mae,17.928571428571427,81.95918367346938,26.959183673469386
test,density_bucket,medium,num_edges,rmse,58.460085807780516,196.42483113322075,69.85933388325604
test,density_bucket,medium,num_vertices,mae,1.2755102040816326,11.46938775510204,0.0
test,density_bucket,medium,num_vertices,rmse,2.5253813613805267,17.83369889637398,0.0
test,density_bucket,sparse,num_edges,mae,12.359281437125748,52.80239520958084,218.44910179640718
test,density_bucket,sparse,num_edges,rmse,23.5165886156934,96.14273321317945,333.90289563370794
test,density_bucket,sparse,num_vertices,mae,5.598802395209581,24.20359281437126,0.0
test,density_bucket,sparse,num_vertices,rmse,8.656796160270787,31.527005817368437,0.0
test,generator,barabasi_albert,num_edges,mae,13.8,81.53333333333333,184.22666666666666
test,generator,barabasi_albert,num_edges,rmse,25.78190579973999,125.39032392227612,316.59869445930025
test,generator,barabasi_albert,num_vertices,mae,2.8266666666666667,18.68,0.0
test,generator,barabasi_albert,num_vertices,rmse,5.217917847826532,25.089440009693323,0.0
test,generator,dense,num_edges,mae,75.62666666666667,497.70666666666665,76.66666666666667
test,generator,dense,num_edges,rmse,166.6987702414148,833.2694962215605,134.59123299829005
test,generator,dense,num_vertices,mae,1.7466666666666666,21.653333333333332,0.0
test,generator,dense,num_vertices,rmse,3.104834939252005,29.185384470084795,0.0
test,generator,erdos_renyi,num_edges,mae,22.48,96.92,51.82666666666667
test,generator,erdos_renyi,num_edges,rmse,67.37259581362935,226.51225132429371,111.95767057240874
test,generator,erdos_renyi,num_vertices,mae,2.466666666666667,15.493333333333334,0.0
test,generator,erdos_renyi,num_vertices,rmse,4.905778905196061,24.382507390887152,0.0
test,generator,random_tree,num_edges,mae,4.773333333333333,17.6,87.81333333333333
test,generator,random_tree,num_edges,rmse,7.805980613179444,22.881142162633985,152.26643315802292
test,generator,random_tree,num_vertices,mae,5.693333333333333,17.706666666666667,0.0
test,generator,random_tree,num_vertices,rmse,9.364471866225736,24.17602117801852,0.0
test,generator,watts_strogatz,num_edges,mae,10.266666666666667,51.14666666666667,202.09333333333333
test,generator,watts_strogatz,num_edges,rmse,19.073891405094383,71.69211951114292,344.3272668068369
test,generator,watts_strogatz,num_vertices,mae,3.2666666666666666,21.706666666666667,0.0
test,generator,watts_strogatz,num_vertices,rmse,6.014427099344819,29.65805118344764,0.0
test,overall,all,num_edges,mae,25.389333333333333,148.98133333333334,120.52533333333334
test,overall,all,num_edges,rmse,81.75206419412295,391.67126351912344,233.50819543076713
test,overall,all,num_vertices,mae,3.2,19.048,0.0
test,overall,all,num_vertices,rmse,6.079473661428265,26.60771817850352,0.0
