analysis,comparison_or_bin,metric,group_a_label,group_a_mean,group_a_median,group_b_label,group_b_mean,group_b_median,delta_mean,delta_median,n,n_worse,n_better,n_tie,wilcoxon_stat,p_value,significant_p05,notes
wilcoxon_shortcut_probe,constant_node_size_vs_original,vertex_error,original,3.425,1.0,constant_node_size,10.475,11.0,7.05,10.0,40,33,4,3,44.5,3.5799e-06,Y,"Mean and median agree in direction. Node-size shortcut confirmed: removing the node-size visual cue significantly worsens vertex prediction for the large majority of graphs (33/40)."
wilcoxon_shortcut_probe,constant_node_size_vs_original,edge_error,original,54.175,3.5,constant_node_size,39.8,20.0,-14.375,16.5,40,35,5,0,141.0,2.9778e-04,Y,"MEAN IS MISLEADING: mean edge error appears to improve (-14.375) but 35/40 graphs got worse and median error nearly 6x'd (3.5 to 20.0). The apparent mean improvement is driven entirely by 2 extreme outliers (syn_dense_large_0069: delta -1006; syn_dense_large_0055: delta -280), both dense+large graphs also flagged as the worst Part 1 spot-check failure. Wilcoxon p is significant in the WORSENING direction (rank-based, correctly detects the 35/40 majority pattern) -- report median/win-loss counts, not the mean, for this comparison."
wilcoxon_layout_probe,alt_layout_vs_original,vertex_error,original,3.425,1.0,alt_layout_kamada_kawai,3.075,1.0,-0.35,0.0,40,17,16,7,243.5,0.4991,N,"Median delta = 0, near-even win/loss split (17 worse / 16 better / 7 tied). No statistically significant layout effect on vertex prediction."
wilcoxon_layout_probe,alt_layout_vs_original,edge_error,original,54.175,3.5,alt_layout_kamada_kawai,35.525,4.5,-18.65,1.0,40,18,16,6,290.0,0.8978,N,"Median delta = +1.0 (~negligible), near-even win/loss split (18 worse / 16 better / 6 tied). The -18.65 mean delta is driven almost entirely by one outlier (syn_dense_large_0069: delta -512). Clean null result: model is NOT meaningfully sensitive to sfdp vs Kamada-Kawai layout -- good news for Limitations section, contradicts what raw mean MAE alone would have suggested."
warning_banner_validation,overall_flagged_vs_unflagged,vertex_error,unflagged,6.150554,3.0,flagged_any_warning,20.800623,1.0,14.650069,-2.0,1676,,,,,,,"'Flagged' = dense_bucket OR num_nodes>100. Median error is LOWER for flagged (1.0 vs 3.0) despite higher mean -- aggregate is confounded by mixing OOD-size (genuinely high error) with dense-bucket (often low error) into one flag category. See binned rows below for the deconfounded picture."
warning_banner_validation,overall_flagged_vs_unflagged,edge_error,unflagged,19.545387,8.0,flagged_any_warning,60.757009,2.0,41.211622,-6.0,1676,,,,,,,"Same confound as vertex row above -- median again lower for flagged. Deconfounding by size bin (below) is required to interpret this correctly."
warning_banner_validation,size_0_15_dense_vs_sparse,vertex_error,sparse_n0_15,0.529412,0.0,dense_n0_15,0.386935,0.0,-0.142477,0.0,"216 (199 dense / 17 sparse)",,,,,,,"Dense safer than sparse at this size for vertices."
warning_banner_validation,size_0_15_dense_vs_sparse,edge_error,sparse_n0_15,1.470588,1.0,dense_n0_15,1.472362,1.0,0.001774,0.0,"216 (199 dense / 17 sparse)",,,,,,,Effectively tied at smallest size.
warning_banner_validation,size_15_30_dense_vs_sparse,vertex_error,sparse_n15_30,2.633466,2.0,dense_n15_30,0.5625,0.5,-2.070966,-1.5,"267 (16 dense / 251 sparse)",,,,,,,Dense notably safer for vertices.
warning_banner_validation,size_15_30_dense_vs_sparse,edge_error,sparse_n15_30,6.796813,3.0,dense_n15_30,13.0,8.0,6.203187,5.0,"267 (16 dense / 251 sparse)",,,,,,,Dense already worse for edges at this size -- crossover starts early.
warning_banner_validation,size_30_50_dense_vs_sparse,vertex_error,sparse_n30_50,8.271698,8.0,dense_n30_50,1.411765,1.0,-6.859933,-7.0,"282 (17 dense / 265 sparse)",,,,,,,Dense much safer for vertices.
warning_banner_validation,size_30_50_dense_vs_sparse,edge_error,sparse_n30_50,26.815094,27.0,dense_n30_50,51.470588,48.0,24.655494,21.0,"282 (17 dense / 265 sparse)",,,,,,,Dense edge error now ~1.9x sparse.
warning_banner_validation,size_50_75_dense_vs_sparse,vertex_error,sparse_n50_75,14.371069,13.0,dense_n50_75,2.181818,2.0,-12.189251,-11.0,"170 (11 dense / 159 sparse)",,,,,,,Dense much safer for vertices.
warning_banner_validation,size_50_75_dense_vs_sparse,edge_error,sparse_n50_75,43.45283,42.0,dense_n50_75,122.818182,105.0,79.365352,63.0,"170 (11 dense / 159 sparse)",,,,,,,Dense edge error now ~2.8x sparse (median).
warning_banner_validation,size_75_100_dense_vs_sparse,vertex_error,sparse_n75_100,23.333333,21.0,dense_n75_100,6.181818,5.0,-17.151515,-16.0,"101 (11 dense / 90 sparse)",,,,,,,Dense much safer for vertices even at largest in-distribution size.
warning_banner_validation,size_75_100_dense_vs_sparse,edge_error,sparse_n75_100,68.588889,67.5,dense_n75_100,285.0,224.0,216.411111,156.5,"101 (11 dense / 90 sparse)",,,,,,,"Dense edge error now ~3.3x sparse (median) -- complete reversal from the 0-15 size bin where they were tied. This is the full-population confirmation of the Part 1 spot-check 'dense+large is catastrophic' finding."
